# EVENTI.DAT
# ID|TIPO|DATA|LUOGO|ID_PERSONA|ID_FAMIGLIA|ID_FONTE|NOTE
E000318|BIRT|1325||P000153||S000001|IMPORT_RMTREE
E000319|DEAT|||P000153||S000001|IMPORT_RMTREE
E000320|BIRT|1325||P000154||S000001|IMPORT_RMTREE
E000321|DEAT|||P000154||S000001|IMPORT_RMTREE
E000322|BIRT|1376|Napoli, Provincia di Napoli, Campania, Italia.|P000155||S000001|IMPORT_RMTREE
E000323|DEAT|1423|Napoli, Provincia di Napoli, Campania, Italia.|P000155||S000001|IMPORT_RMTREE
E000324|MARR|1389|Gaeta, Latina, Lazio, Italy||F000069|S000001|IMPORT_RMTREE
E000325|BIRT|1365|Italy|P000156||S000001|IMPORT_RMTREE
E000326|DEAT|||P000156||S000001|IMPORT_RMTREE
E000327|BIRT|1375|Napoli, Provincia di Napoli, Campania, Italia.|P000157||S000001|IMPORT_RMTREE
E000328|DEAT|1425|Napoli, Provincia di Napoli, Campania, Italia.|P000157||S000001|IMPORT_RMTREE
E000329|BIRT|1340|Napoli, Campania, Itália|P000158||S000001|IMPORT_RMTREE
E000330|DEAT|||P000158||S000001|IMPORT_RMTREE
E000331|MARR|1373|||F000072|S000001|IMPORT_RMTREE
E000332|BIRT|1340|Napoli, Provincia di Napoli, Campania, Italia.|P000159||S000001|IMPORT_RMTREE
E000333|DEAT|1391-11-13|Palermo, Regno delle Due Sicilie|P000159||S000001|IMPORT_RMTREE
E000334|BIRT|1376-07-11|Napoli, Provincia di Napoli, Campania, Italia.|P000160||S000001|IMPORT_RMTREE
E000335|DEAT|1414-08-06|Napoli, Provincia di Napoli, Campania, Italia.|P000160||S000001|IMPORT_RMTREE
E000336|BIRT|1375|Italy|P000161||S000001|IMPORT_RMTREE
E000337|DEAT|||P000161||S000001|IMPORT_RMTREE
E000338|BIRT|1369|Italy|P000162||S000001|IMPORT_RMTREE
E000339|DEAT|||P000162||S000001|IMPORT_RMTREE
E000340|MARR|1391|||F000080|S000001|IMPORT_RMTREE
E000341|DEAT|1368||P000163||S000001|IMPORT_RMTREE
E000342|BIRT|1370|Italy|P000164||S000001|IMPORT_RMTREE
E000343|DEAT|||P000164||S000001|IMPORT_RMTREE
